step,equity
0,1.03
1,1.0299625386433897
2,1.0608614148026914
3,1.0858674338658976
4,1.0532914108499205
5,1.0939018289928932
6,1.12671888386268
7,1.1830548280558142
8,1.1586409633817465
9,1.193400192283199
10,1.2059550382366984
11,1.2300741390014323
12,1.2092574902639146
13,1.2473580871970706
14,1.2361748767601315
15,1.2836903582432153
16,1.3093641654080796
17,1.348645090370322
18,1.3081857376592123
19,1.3256282141613354
20,1.3919096248694023
21,1.4336669136154845
22,1.476676921023949
23,1.5505107670751466
24,1.6150940381805623
25,1.6958487400895905
26,1.747693239334058
27,1.7260128020390966
28,1.7945671206243654
29,1.8842954766555837
30,1.9189904409876548
31,1.9765601542172846
32,1.9963257557594574
33,2.016289013317052
34,2.0364519034502226
35,2.0783144026899785
36,2.1102298923269527
37,2.071441877260656
38,2.0498723741217915
39,2.0703710978630094
40,2.1465461264030257
41,2.181764933328521
42,2.290853179994947
43,2.3137617117948968
44,2.3368993289128457
45,2.3795464632741874
46,2.3935633499632893
47,2.449445402658276
48,2.5229287647380243
49,2.5481580523854044
50,2.5736396329092583
51,2.650848821896536
52,2.7214555839949357
53,2.7272935604692643
54,2.8163807046449842
55,2.95038459123334
56,3.0198162704423606
57,3.063159515735769
58,3.0325279205784113
59,3.1566720323270903
60,3.314505633943445
61,3.2813605776040102
62,3.4216050296879073
63,3.3493453931194925
64,3.3828388470506874
65,3.2813536816391666
66,3.3372582258448706
67,3.4373759726202167
68,3.6092447712512277
69,3.64533721896374
70,3.7546973355326525
71,3.9424322023092855
72,4.13955381242475
73,4.2081114658225
74,4.334354809797175
75,4.551072550287034
76,4.5965832757899046
77,4.734480774063602
78,4.874742931755112
79,5.069732649025316
80,5.221824628496076
81,5.326261121065998
82,5.548973717602181
83,5.826422403482291
84,6.00121507558676
85,6.1075400348877675
86,6.2907662359344005
87,6.432114393496161
88,6.740370441788241
89,7.045722127781476
90,6.947999885313396
91,7.156439881872799
92,7.228004280691526
93,7.164050792679549
94,7.224557978428533
95,7.441294717781389
96,7.583278042281585
97,7.671214529450726
98,7.650960497689799
99,7.727470102666697
100,8.045495027354002
101,8.206404927901083
102,8.50688916168067
103,8.728190469307341
104,9.103421087614013
105,9.479191696086769
106,9.930126114941622
107,10.426632420688703
108,10.402439468458281
109,10.807105795033472
110,11.044648120429258
111,11.196978838852718
112,11.330138608699718
113,11.443439994786715
114,11.983417917064818
115,12.312751662911682
116,12.682134212799033
117,13.096742514096729
118,13.751579639801566
119,13.889095436199582
120,14.282942209292928
121,14.600072851449527
122,14.52047743870798
123,14.419465548008077
124,14.707854858968238
125,14.663245843338897
126,14.240267597857967
127,14.382670273836547
128,14.391155625030551
129,15.006229673661997
130,15.456416563871857
131,15.920109060788013
132,15.872708639871092
133,16.388720196164627
134,16.739234529030245
135,17.241411564901153
136,17.954367348417087
137,17.813297319250953
138,17.796627121224915
139,17.914798303657374
140,18.09394628669395
141,17.96235395006345
142,18.470938981695394
143,18.65564837151235
144,19.58843079008797
145,20.176083713790607
146,20.584461305034978
147,20.37861669198463
148,20.98997519274417
149,21.19987494467161
150,21.411873694118327
151,22.11129633006813
152,22.774635219970172
153,22.590473749188742
154,22.505971403000878
155,23.181150545090905
156,23.55301508133448
157,24.730665835401204
158,25.844007930030692
159,26.331182332389893
160,26.905143114617083
161,26.27597621738345
162,26.69622164210484
163,26.97688005867669
164,26.73242936558836
165,27.95676523424782
166,29.35460349596021
167,30.82233367075822
168,32.31082685778508
169,33.7048663058631
170,35.18753749590226
171,36.24316362077933
172,37.330458529402705
173,37.45087911249178
174,39.02163443060794
175,39.93898513476609
176,41.137154688809076
177,41.54852623569717
178,42.928347662536986
179,43.35763113916236
180,45.139192658450014
181,45.849211865731434
182,47.538087897747616
183,48.928754366096086
184,50.39661699707897
185,50.90058316704976
186,50.95056968270818
187,51.46007537953526
188,52.61014065947175
189,54.40406020982751
190,56.59800172286435
191,58.24448904571131
192,59.99182371708265
193,60.59174195425348
194,63.23982549151345
195,63.31128232596879
196,66.47684644226723
197,68.47115183553525
198,71.15493576206532
199,71.86648511968598
200,73.56885434167002
201,75.87845496054963
202,76.11636828587605
203,75.56934442965853
204,77.0807313182517
205,77.5780263590146
206,79.83484167127683
207,83.58082622765588
208,84.41663448993243
209,83.57246814503311
210,84.72483385485904
211,88.961075547602
212,91.62990781403006
213,94.37880504845097
214,97.23752633142541
215,97.17823515683308
216,98.15001750840142
217,99.13151768348543
218,98.14020250665057
219,96.90308414296413
220,95.256659649044
221,100.0194926314962
222,101.96581789351451
223,105.02479243031995
224,102.39591781759987
225,106.41217181219288
226,107.4762935303148
227,111.5768330273197
228,117.15567467868568
229,123.01345841261997
230,126.70386216499857
231,133.0390552732485
232,137.03022693144595
233,141.14113373938935
234,141.05559365833517
235,140.2988125299149
236,146.18950439375368
237,150.9784709169973
238,152.48825562616727
239,160.11266840747564
240,163.18135542033215
241,162.00411243201495
242,166.8642358049754
243,167.52916018052034
244,170.17649497967278
245,174.75703810102766
246,183.49489000607906
247,184.09216089579144
248,189.6149257226652
249,192.7542296151612
250,198.53685650361604
251,200.5222250686522
252,206.53789182071176
